Scenario	Horizon	CapReq	Products	NumOfOrders	BatchSizes	System	WS1	WS2	WS3	WS4	WS5	WS6	WS7	WS8	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	WS1	WS2	WS3	WS4	WS5	WS6	WS7	WS8	OperatorCost	OperationCost	SetupCost	LatenessCost	Investment
1	40	1957897	7	508	221	2	20	8	4	2	12	8	1	1	0	0	0	0	20078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9122	16978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15754	17959	0	0	0	21768	0	0	0	0	0	0	0	0	0	0	0	0	10482	0	0	0	0	0	20	8	4	2	12	8	1	1	20880	42570	415	23920	1370
2	40	1044883	28	266	316	2	82	24	13	7	52	34	1	13	0	0	0	0	1735	2257	0	3984	2051	0	0	1573	0	0	0	2262	3634	0	0	1380	0	0	2331	5787	0	0	0	0	2490	0	0	3068	4274	0	2988	3644	0	0	0	0	0	0	0	0	1801	0	0	0	2479	0	2181	3879	0	0	3730	0	4331	2724	4198	0	0	3190	3912	1928	4868	1417	0	82	24	13	7	52	34	1	13	11280	21430	270	14430	5227
3	40	1428761	38	514	233	2	102	38	28	13	76	47	4	18	0	3858	3098	2653	1702	0	0	0	3488	3457	2389	3277	5793	0	0	0	3953	3115	2495	5310	0	0	0	4509	3806	0	2622	0	0	0	0	2979	0	0	3444	2411	0	0	2790	1370	0	0	0	2867	2629	3117	1706	3353	2837	0	0	2259	3030	1746	3328	3864	0	0	5263	0	0	2404	3466	2985	3044	3516	0	102	38	28	13	76	47	4	18	15220	44660	330	21870	7516
4	40	1622832	36	490	282	2	97	36	23	14	74	48	3	22	0	3139	5478	4201	3238	4679	3321	4783	0	0	0	5291	2399	3606	2572	3541	3176	1882	3847	0	0	0	0	3790	0	0	0	0	0	5065	0	3975	0	0	4138	2068	0	0	3815	0	5963	0	2030	2852	4545	0	3171	0	0	2518	5432	4687	4897	6547	5862	0	0	0	0	0	2036	4674	0	0	3407	1586	0	97	36	23	14	74	48	3	22	17220	42860	360	25730	7145
5	40	2542643	46	595	368	2	127	50	30	12	94	56	4	22	0	5110	0	0	2124	5707	0	0	1692	3917	3784	0	5210	3903	4711	3662	8189	4857	3988	0	3815	2312	6603	6444	0	4635	4968	2415	6185	5219	0	4603	5028	5147	4646	4382	0	3166	3109	0	4843	6068	5352	5415	0	6303	3008	0	0	7049	0	3653	3193	8522	5144	0	6232	6284	0	0	0	5350	0	5930	4629	2684	0	127	50	30	12	94	56	4	22	26860	51050	535	41040	9208
6	40	365696	31	187	178	2	76	33	18	9	63	32	4	12	0	0	0	1096	400	0	0	2256	926	0	0	0	0	1540	0	0	1640	0	0	719	1570	878	779	0	509	0	1404	1487	961	0	0	0	1567	0	761	511	70	0	754	0	0	1239	0	1706	1117	0	2411	0	0	0	0	0	393	815	0	0	0	0	339	1172	1574	653	1397	0	0	647	0	76	33	18	9	63	32	4	12	4220	14790	200	4150	5700
7	40	955646	29	448	192	2	68	35	20	7	56	36	4	9	0	0	0	0	3503	0	0	0	0	2373	2574	0	0	3888	0	0	0	1677	0	3227	2969	0	4304	2397	2742	0	1216	0	0	0	0	2796	0	2632	4048	0	3843	5249	0	3734	0	0	0	2689	2539	2289	4442	0	2880	0	0	0	2537	0	0	0	0	0	1648	1377	2192	2294	3924	3929	0	0	0	68	35	20	7	56	36	4	9	10300	35990	250	8320	5578
8	40	2688058	4	601	392	2	7	4	2	2	9	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37487	0	0	79918	0	0	0	0	43988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	2	2	9	4	0	3	28400	47830	520	41330	644
9	40	898050	29	547	133	2	74	26	25	8	58	37	2	15	0	0	0	3110	0	0	0	0	0	0	3202	0	0	0	0	1529	2312	0	0	0	0	2376	0	2166	0	1816	0	2648	1925	2083	0	2423	0	2648	1731	0	0	0	2897	1456	2512	0	0	3793	0	2911	0	0	2275	2407	1837	2464	0	0	0	2525	2338	1937	2919	4025	0	3743	0	0	2814	0	0	74	26	25	8	58	37	2	15	9740	46000	245	10110	5627
10	40	259231	56	287	77	2	142	63	32	17	109	68	7	30	0	9	455	0	0	290	463	103	547	364	775	272	279	0	193	332	468	313	693	694	397	590	0	177	324	0	838	163	0	279	408	229	302	0	540	602	460	152	927	170	239	101	285	523	761	238	955	393	547	316	338	437	359	0	480	460	447	237	0	309	334	56	266	394	0	589	166	142	63	32	17	109	68	7	30	3100	24260	200	1060	10794
